record_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1912,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,19,21,12,20,22,6,0,0,0,0,0
1924,0,0,0,0,0,0,5,20,6,0,0,0
1925,0,0,0,0,0,13,19,0,0,0,0,0
1929,5,14,19,0,0,0,8,12,0,0,0,0
1930,11,20,21,15,22,0,0,0,0,0,0,0
1961,8,20,21,18,18,18,0,0,0,0,0,0
1962,9,20,22,13,21,18,0,0,0,0,0,0
1963,10,17,19,15,21,20,0,0,0,0,0,0
1964,11,20,19,18,19,15,0,0,0,0,0,0
1967,8,20,13,18,20,11,0,0,0,0,0,0
1968,0,20,20,15,18,11,0,0,0,0,0,0
1969,1,20,20,16,21,16,0,0,0,0,0,0
1970,1,18,0,0,0,0,11,19,21,2,0,0
1971,1,20,21,16,18,11,0,0,0,0,0,0
1972,2,20,22,15,20,9,0,0,0,0,0,0
1973,0,19,22,15,21,10,0,0,0,0,0,0
1974,0,19,0,0,0,0,0,21,21,24,0,0
1975,1,20,19,18,21,14,0,0,0,0,0,0
1976,6,20,23,16,17,21,0,0,0,0,0,0
1977,7,20,4,0,0,0,0,0,0,0,0,0
1978,0,0,0,1,5,1,0,0,0,0,0,2
1979,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,4,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,1,23,6,0,0,0
1982,1,20,22,16,5,0,0,0,0,0,0,0
1984,3,21,7,1,22,20,9,0,3,0,0,0
1985,5,17,16,16,8,0,0,0,0,0,0,0
1986,1,16,12,0,19,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,5,20,0,0,0,0
2000,6,7,10,12,16,15,0,0,11,15,9,0
2001,0,9,15,5,20,24,0,0,12,20,15,0
2002,0,13,12,0,22,28,0,11,14,15,13,0
2003,0,9,14,12,16,25,0,2,19,2,16,0
2004,0,19,2,1,9,18,0,9,11,8,14,1
2005,1,8,10,9,13,18,0,8,9,7,12,4
2006,0,10,13,0,19,19,0,9,11,13,15,0
2007,0,10,17,0,15,22,0,7,13,9,15,0
2008,2,12,14,0,14,27,0,6,6,4,10,0
2009,3,12,2,0,4,9,8,8,11,12,11,0
2010,0,6,12,5,16,6,0,14,9,5,16,0
